Review,True Label,Predicted Label
"Don't pay any attention to the rave reviews of this film here. It is the worst Van Damme film and one of the worst of any sort I have ever seen. It would appeal to somebody with no depth whatever who requires nothing more than gunfire and explosions to be entertained.<br /><br />Seeing that this is directed by Peter Hyams it has made me realise that Peter has no talent as a director, but is very good at filming explosions and the like. However, movies need other elements as well; for example, a story. This one didn't have one. This might explain the awfulness of some of Mr. Hyams' more recent films, hardly any better than this one, really.<br /><br />One can't help wondering how some people ever were put behind a camera.",0,0
"'Leatherheads' tries so hard. Tries to be light hearted. Tries to be a comedy. Tries to be a love affair. Let's see, it tries to be a 'His Girl Friday' by way of 'The Sting' by way of 'It Happened One Night' by way of a dozen sports movies. Alas, trying isn't doing and the movie is as soggy as the last game's field.<br /><br />A fan of movies would watch the big fight scene in the speakeasy between the Duluth Bulldogs and some soldiers and realize that the fights that John Ford staged with such style and verve and humor in movies like 'The Quiet Man' or 'Donovan's Reef', or 'The Searchers' may have seemed easy to do but obviously aren't. I would bet George Clooney thought channeling John Ford would be easy as well. How hard could it be: masculinity run amok, punches, bottles broken over heads, an imperturbable piano player...just put it up there on the screen with some happening music. Sorry. It takes a master to make fight scenes flow.<br /><br />Movies aren't wished into existence. Humor is hard. Romance is hard. Slapstick a lost art.<br /><br />I once read that you never wanted to sit too close to a ballet performance. Something about not wanting to prick the fantastic bubble of the performance by hearing the thuds of the dancers' feet or the grunts of the lifts. This movie is like that...all strain and good intentions, handsome actors, nice sets, but it thuds through its paces rather than gallops like the original Galloping Ghost, Red Grange, who the movie is loosely based on.",0,0
"I was looking at the external reviews (Ebert, etc.) for this film and they were all pretty much negative. However, after reading many of them, I noticed that they all made the same point. Critics were upset that the film centers around what appears to be a senseless murder of an autistic child. Certainly, this is a disturbing image. Critics like Ebert want a traditional detective story that uncovers why the killing happened and squarely places blame on the guilty. They want blame to be cast and resolved. Well, that status-quo theme is kind of what the movie is parodying. Just like society, the critics wanted a very quick resolution so they could move on to their next tragic opera. Perhaps there is no simple question to be answered here? There is a whole lot more to what happened then what is on the surface. The film does not seek to rationalize what happens, but rather understand the why. What also steams me so much about these inane reviews is that all they look at in the way of performances is Spacey and Cheadle, who were both great (and generally are). But there are other great performances at work here other than just the two current icons of Hollywood. Gosling gives an incredible performance that really only somebody of his extreme talent could deliver. Somehow, Gosling is able to make the killer of an autistic child sympathetic. This irritates many, I am sure. However, if one watches the film, they see what Leeland's motivation is, it is wrong, but it is not evil. Malone is also on top of her game as yet another confused young character. Basically, the killing of the child in this film is not the main theme of the movie. The main theme is life itself and how people go about dealing with it, the highs and lows, and how they attempt to sometimes help others deal with their lives (which does not seem to work out very well). There is a lot of good and bad in this world and how we handle each has direct impact on how much more good and bad will take place, and sometimes a confused attempt at doing good, can lead to a whole bunch more of bad. I think this is one of the more memorable films in sometime and has an ending that is as touching as anything in recent movie history. I strongly believe people should view this film, with an open mind.",1,1
"I didn't expect a lot when i went out to see this, but my god what a disappointment. The original was kind of fun within it's genre, but this is so bad, i felt abused when i left the theater. There's no plot, it's not funny, it's not enjoyable to watch, it's straight out embarrassing. After an hour i hoped my patience would be rewarded but now i regret not leaving the theater. Do yourself a favor and ignore this one, see it when it comes to the small screen. Or see it on budget DVD, whatever you do don't waste any money on it. Don't say i didn't warn you.",0,0
"Because of the depth of his character studies and complexity of story lines, James Joyce's works do not easily translate into film. Yet John Huston, in his last film before his death, achieved a perfect translation of Joyce's story. He received great support from his son, as writer, and daughter, as actress.",1,1
"It takes an eternity for this typically over-simplistic and idiotic Stephen King-based film to finally get out of the starting blocks. About half-an-hour is spent on needless introductions to various boring characters and their irrelevant little personal problems that might excite bored housewives and apathetic pensioners in soapy dramas, but this is supposed to be the horror genre (or so I naively thought). The mutt fails to look all that fearsome, which Leonard Maltin, the notoriously clueless/hopeless and always grinning film critic, would disagree with: he considers Cujo to be ""genuinely frightening"". (I often do have to wonder if Maltin is genuinely thick - or merely likes to do favors for his Hollywood friends...) It's both illogical and inconsistent the way Wallace survives an attack with only a leg injury. And, naturally, her car breaks down just when she needs it to save her life: this is one of the oldest horror-film clichés; trust King to use it to minimum effect. The premise is imbecilic, too banal, even for a horror film: a rabid mutt attacks a family. Is that it? This sort of thing barely constitutes a 3-minute sub-sub-plot in your average zombie film. I think even Cujo must have sensed that he was starring in a turkey. Mutts have terrible agents... But what I really don't understand is how people can actually throw themselves at the ""Cujo"" book and read it from cover to cover? These SK fans must be immortal: that's the only explanation, i.e. why they treat time as such a meaningless commodity.<br /><br />Bodycount: 3.",0,0
"This movie is a perfect example of Barkers cinematic gifts to the horror/ monster genre. I thought this movie did a great job of keeping the feel and look of the novella and comic books (or actually, the comics may have come second, I forget). This movie was made for Barker fans. It helps to have read the book beforehand, but isn't that important if you can follow a film. I saw to anyone who is on the fence about this film, read the book, then re-watch the film. You might find a new respect for the movie. I came to this movie a big fan of Barker already, and having read the book prior, loved the film instantly. There are great cameos, makeup, writing, directing, etc in this film. This movie does something that most monster/ horror movies fail miserably at, show the monsters. They are there in full color, not hidden in shadows, and taking most of the screen time. Unlike other films that use quick cuts or trick lighting to hide the creature, this movie celebrates the grotesque, and casts them into the forefront as the good guy. Two thumbs up Clive. We're waiting for the Thief of Always :)",1,1
"I wish I could have met Ida Lupino. When people ask who you if you could have 6 extraordinary 20th century persons over for dinner, well, for me one person would be her. I think she is now one of the great unsung and unprofiled personalities in the film industry. Her life story would make a great tele movie (Hey, Mr Bogdanovich........). Ida Lupino has been the driving force in many fascinating noir films of the 40s and 50s. I can remember being saddened at seeing her reduced to a horrible part in a ghastly AIP film is the late 70s. She was bitten by a big worm at the kitchen sink. Ugh. I should have contacted her then as she died not long after.. more from the part than the worm too. From High Sierra, Roadhouse and the extraordinary RKO thriller On Dangerous Ground, Ida Lupino was often the producer and the lead actress. Later, with her husband Howard Duff they produced many now timeless noir dramas that are still very engrossing today. One of them is JENNIFER which I think is the last film with a Monogram Pictures copyright. Monogram changed the company name formally to Allied Artists in 1953 and JENNIFER has both company names on the opening credits. This is a superior haunted house thriller equally as scary as both The Innocents and The Haunting made 8 years later. Really chilling and very creepy, this tiny film is exactly the sort of really good film Ida Lupino made and was responsible for. Try and find it...you will always remember it and as I feel, much admiration for this great and almost forgotten actress/producer.",1,1
"The summary line is some men's wet dream for the ideal woman ... ;o) Seriously though, back to the movie, which has classic cinema written all over it (pun intended and quite literally shown in the picture, too as you'll see)! <br /><br />How could someone make a silent movie in this year and age? It's not completely silent for once (take the music for instance). With great cinematography is the answer. And it's no wonder that it did win prizes (as another user stated) in this area! But it's also sometimes it's downfall. Although the pictures are great, it sometimes delves too much in them instead of moving forward (plot and time wise). If you can cope with that, than you'll enjoy it even more than me. I haven't told you anything about the story, but I'll never do that, because I don't want to spoiler anything for you ...",1,1
"With Pep Squad receiving an average of 4.7 on IMDb.com, no wonder Steve Balderson slanders this website so. But the fact is that Pep Squad is a poorly crafted ""black"" ""comedy"" (both words in quotation marks for a reason). It's a movie full of over-acting (Cherry, Beth's Mother), coupled with a couple of lethargic performances (Beth and Julie's boyfriend). A movie where you can follow cars from twenty feet away in a gaudy red Jeep and never be noticed. A movie chock full of not-so-appetizing cleavage and nudity shots that make you wonder, ""Does the director think this is funny? Or clever?"" Most of all, the characters are so paper-thin and poorly developed that the film becomes quite unpredictable, but probably not on purpose. Pep Squad can't decide whether to be a comedy, or a drama, or a satire (patriotic music, I get it...). The movie fails at being serious, because the idea of killing for any school position (this being Prom Queen) crosses the line into insanity (not to mention shots of flag burning and drive-by shootings, a poor attempt at being controversial and edgy), and fails at being a comedy, for all the forced and awkwardly placed jokes (big butt mama, ""funky"" black principal, and excessive cussing delivered poorly by the principal cast). Watching the documentary ""Wamego: Making Movies Anywhere"" only made this film more cringe-worthy, with praise lauded towards it by... the director and the director's father... hmmmmmm. Not a black comedy, or anything for that matter. I guess Kansas will have to wait.",0,0
"I have never seen ""American Werewolf in London"" but this movie was very entertaining. When renting it I thought it was a horror movie but it turned out to be more of a comedy with some horror aspects. I thought the transformation sequences were nicely done but effects wise, the best scenes were those where the effects and the lighting built off each other, nice. The transformations reminded me a lot of werewolf transformations in other movies, but the werewolves themselves are very beastly and not very dog like. Gore: i do believe there is too much in this movie, which really takes away from the horror, when every frame has blood in it, taking the violence seriously is hard. <br /><br />J.Hurst (8th grade)",1,1
"The trio are a pleasant, nostalgic journey to that first hint of desire--when it was still about simple exploration of the unknown--before we ""grew up"" and added those complexities of HIV status, emotional baggage and gotta-run-my-pager-just-went-off into the emotional mix.<br /><br />The angst portrayed is pure adolescent angst, but it rings true in all three stories. Their sweetness and positivity make you feel good that you are gay. And those kinds of films are few and far between.<br /><br />Good news! Both Boys Life and Boys Life 2 are now readily available on DVD as of September 1999.",1,1
"Jeff Leroy wanted to makes fun of Scientology so built a horror movie around a cult similar to it. The twist is that instead of frail old L. Ron Hubbard as the cult leader, there's a centuries old space monster who turns his followers into vampires. Our hero is a dirty living college student who is doing research into the occult. His landlord is an attractive blonde who tries to get him to clean up his life with the help of the cult. It doesn't take him long to figure out that she's only after one thing: his blood. ""The Screaming"" was shot very cheaply on video and I just plain ugly. The space monster (which looks like a giant winged cat that looks perpetually mad and has no skin) is alternately a clay-mation miniature and a large scale animatronics puppet, both of which look awful. The acting and writing are both terrible and the director doesn't even try to disguise the fact that this movie was made for nothing. Avoid this non-scary, pitiful little excuse.",0,0
"This is what happens when a franchise gets lazy, and no one can think of a new twist to add. Remember what happened to the ""Childs Play"" series? The first three were played as horror films, with genuine scares (albeit predictable) that held true to the theme of the movie. Then they ran out of folks for the doll to stalk, and decided to play it for laughs, with the next two being black comedies.....<br /><br />Well, that;s what happened here, but I think it was not meant to be like that. Kind of like saying, ""I WANTED to make pancakes for dessert! I did this on purpose!"" when your soufflé accidentally fizzles flat. But the milk was spilled, and it had some value in the theaters as a goof.<br /><br />When the floor ripped out from under the passenger seats, I sort of expected the passengers to extend their legs through the hole, start running Flintstones-Style, to safely land the plane in the Alps. I did. It would have fit into the silly campy theme of the rest of the show.<br /><br />Instead of pointing out the obvious physical impossibilities of the film, what about the social implausibilities? Like having George Kennedy's character react calmly to the news that his date was a whore? Even back in 1979, a man would not easily accept the notion that he has just poured his heart out to a paid companion. He supposedly felt he made a connection with a kindred spirit, who is subsequently shown to be a mercenary sex-worker with a come-on line. Who WOULDN'T feel cheated by the experience? And yet he giggles, and wraps his arms around his buddy's waist as they merrily stroll off. What a cheap wrap up of a sleazy scene. Ouch.<br /><br />I had an appetite for soufflé, and got served insipid cliché pancakes. And no, you did NOT do it on purpose!",0,0
yes barney is nonsense now but when i was a kid it made perfect sense.<br /><br />i haven't gotten any smarter but i enjoyed it. as a child i was mocked because no one could say my name so i changed it. ever since i was 4 I've gone by the name Tina from barney because i could relate to her being from a different culture. i'm 17 now and barney is a huge part of my life . ...my name came from it.... i cant dis the show i grew up with no matter how stupid it seems now.<br /><br />i don't care if i get blocked i have nothing more to say. they shouldn't make the minimum 10 lines because some people just don't have much to say. OK done,1,1
"This movie was so awful that I can't even describe it. I was amazed that I even sat through this pile of trash. I couldn't believe that a movie like this was even thought of. It was a about a serial killer that clucks like a chicken. He doesn't just cluck a couple of times, he clucks non-stop through out the whole movie. He even flaps his arms like a chicken which is even stupider than anything I have ever seen. I couldn't believe this came out in 1990. I thought it came out in the early '80's or something. Then the daughter isn't very smart either because she was protecting the geek or man chicken. The end just gets worse and is the worse ending I have ever seen. This movie is just chicken s**t. I was laughing more than I was scared and I strongly suggest going out and getting a bucket of fried chicken instead of seeing this movie.",0,0
"'Oppenheimer' with Sam Waterston in the title role and with David Suchet as Evard Teller is an example of the docudrama at its very finest. Well written, well acted by actors who bear a believable resemblance to their historical characters, highly informative, and very entertaining. The set designs and costumes capture the feel of the US during World War 2, and the plotting and dialog make the viewer feel as if he were really present at Los Alamos and caught up in the excitement of the Manhattan Project. The only downside is that this is a British production, and some of the actors lack skill in affecting a convincing American accent. (The skill of current day Australian & Irish actors taking on non-native dialects is amazing.) The storyline is fully consistent with Richard Rhodes' definitive history of the development of the atomic bomb. Sadly, the mini-series was shown only a couple of times on PBS at the beginning of the 1980s and then apparently vanished into oblivion.<br /><br />'Oppenheimer' compares favorably to the more recent 'Fat Man & Little Boy' feature film with Paul Newman as Leslie Groves (the chronically overweight and rather homely General would be thoroughly flattered) and Dwight Schultz (alumnus of TV's 'A-Team') as Oppenheimer. As a mini-series, 'Oppenheimer' is around 4x as long as the Newman feature, but uses the all of the additional time completely to its advantage.",1,1
"Another example of the women-in-prison genre. This is not exactly a genre known for quality films, but this is a notch below most. A bunch of women are taken from the bordellos where they work to a prison on a rocky island. Once there, they are subjected to lots of poorly directed sex and atrocious ""dialog."" For a film with an astounding amount of sex and nudity there is really nothing erotic about any of it. The sex scenes are awkwardly acted, and some scenes, like the shower scene, seem to drag on and on. That said, there are at least some minimal production values. On the W-i-P scale I would put it above Frauen fur Zellenblock Neun, but below Chained Heat.",0,0
"The story told by The Cranes are Flying is not, admittedly, all that original. Young lovers are separated by war; bad things happen to both. We've seen it many times before.<br /><br />Nonetheless, we haven't seen it filmed this well, with bold shots that take liberties to emphasize separation, or destruction, or hopelessness. All the more remarkable coming from the Soviet Union, and reason to conclude that Tarkovsky is not the last word in modern-era Soviet cinema.<br /><br />I was reading Chekhov's ""Three Sisters"" the other day, and chanced upon what may be the meaning of the title of this film. In Act 2, Masha objects to the notion that we must live our lives without meaning or understanding:<br /><br />""MASHA: Surely mankind must believe in something, or at least seek for the truth, otherwise life is just emptiness, emptiness. To live and not to know why the cranes are flying, why children are born, why there are stars in the sky. Either you must know why it is you live, or everything is trivial - mere pointless nonsense.""<br /><br />Likewise, Veronika has a hard time believing that the war, and her and others' sufferings, have been pointless. Better to assign a meaning, to live as if one's life is significant, and not to give in to despair. It is perhaps this thinking that prompts her to her final act in the film.<br /><br />BTW as a minor correction to one other comment here--there may be a pattern of V's in the film, though I hadn't noticed them myself. But the first letter of Veronika's name is not a further instance of this; in the Cyrillic alphabet, her name begins with a letter which looks like an English ""B"".",1,1
"AWiP tries to be funny, scary, tense, and romantic ... and fails in every respect. The acting is average at best, but mostly stupid. The special effects are not enough to make up for the stupid plot devices, and the chemistry between *ANY* character is juvenile.<br /><br />If you don't want to be mad at yourself, don't pay money to see it.",0,0
"Absolutely one of the 10 best music films Ever! A totally essential educational experience for any music fanatic--Especially young rock/punk fans today...understanding the beginnings of any particular ""artistic"" movement absolutely requires understanding the roots of the music,as well as the mindset and musical environment of the times....not to mention the political and social factors involved at the time. And,besides all that,this documentary is flat-out rock-n-roll F U N !! Do Not Miss It!!! that said,can anyone tell me when,if ever, ""the decline of western civilization""...part 1,( Not part 2,the metal version) will be made available again..hopefully on DVD?",1,1
"An interesting movie with Jordana Brewster as a young woman who travels to Europe in an attempt to find out what became of her older sister (Cameron Diaz) who mysteriously died years earlier. Brewster is very good and keeps you involved despite some unrealistic plotting, such as having her amazinly find and start a romance with her dead sister's much older boyfriend (Christopher Eccleston). Still, mostly good. GRADE: B",1,1
